,support,itemsets
157,0.14,"frozenset({1, 59})"
158,0.11,"frozenset({1, 60})"
159,0.14,"frozenset({1, 61})"
160,0.1,"frozenset({1, 62})"
161,0.11,"frozenset({1, 63})"
162,0.11,"frozenset({64, 1})"
163,0.07,"frozenset({65, 1})"
164,0.1,"frozenset({1, 66})"
165,0.14,"frozenset({1, 67})"
166,0.12,"frozenset({1, 68})"
167,0.14,"frozenset({1, 69})"
168,0.17,"frozenset({1, 70})"
169,0.13,"frozenset({1, 71})"
170,0.11,"frozenset({72, 1})"
171,0.11,"frozenset({73, 1})"
172,0.12,"frozenset({1, 74})"
173,0.14,"frozenset({1, 75})"
174,0.13,"frozenset({1, 76})"
175,0.18,"frozenset({1, 77})"
176,0.12,"frozenset({1, 78})"
177,0.1,"frozenset({1, 79})"
178,0.09,"frozenset({80, 1})"
179,0.11,"frozenset({81, 1})"
180,0.11,"frozenset({1, 82})"
181,0.07,"frozenset({1, 83})"
182,0.11,"frozenset({1, 84})"
183,0.08,"frozenset({1, 85})"
184,0.13,"frozenset({1, 86})"
185,0.11,"frozenset({1, 87})"
186,0.15,"frozenset({88, 1})"
187,0.09,"frozenset({89, 1})"
188,0.15,"frozenset({1, 90})"
189,0.09,"frozenset({1, 91})"
190,0.1,"frozenset({1, 92})"
191,0.14,"frozenset({1, 93})"
192,0.14,"frozenset({1, 94})"
193,0.1,"frozenset({1, 95})"
194,0.14,"frozenset({96, 1})"
195,0.16,"frozenset({1, 97})"
196,0.14,"frozenset({1, 98})"
197,0.15,"frozenset({1, 99})"
198,0.14,"frozenset({1, 100})"
199,0.12,"frozenset({2, 3})"
200,0.16,"frozenset({2, 4})"
201,0.16,"frozenset({2, 5})"
202,0.11,"frozenset({2, 6})"
203,0.15,"frozenset({2, 7})"
204,0.1,"frozenset({8, 2})"
205,0.1,"frozenset({9, 2})"
206,0.06,"frozenset({2, 10})"
207,0.12,"frozenset({2, 11})"
208,0.08,"frozenset({2, 12})"
209,0.13,"frozenset({2, 13})"
210,0.15,"frozenset({2, 14})"
211,0.09,"frozenset({2, 15})"
212,0.12,"frozenset({16, 2})"
213,0.11,"frozenset({17, 2})"
214,0.1,"frozenset({2, 18})"
215,0.13,"frozenset({2, 19})"
216,0.13,"frozenset({2, 20})"
217,0.08,"frozenset({2, 21})"
218,0.13,"frozenset({2, 22})"
219,0.1,"frozenset({2, 23})"
220,0.14,"frozenset({24, 2})"
221,0.06,"frozenset({25, 2})"
222,0.08,"frozenset({2, 26})"
223,0.07,"frozenset({2, 27})"
224,0.05,"frozenset({2, 28})"
225,0.12,"frozenset({2, 29})"
226,0.1,"frozenset({2, 30})"
227,0.11,"frozenset({2, 31})"
228,0.1,"frozenset({32, 2})"
229,0.13,"frozenset({33, 2})"
230,0.11,"frozenset({2, 34})"
231,0.1,"frozenset({2, 35})"
232,0.06,"frozenset({2, 36})"
233,0.15,"frozenset({2, 37})"
234,0.08,"frozenset({2, 38})"
235,0.15,"frozenset({2, 39})"
236,0.22,"frozenset({40, 2})"
237,0.07,"frozenset({41, 2})"
238,0.13,"frozenset({2, 42})"
239,0.1,"frozenset({2, 43})"
240,0.12,"frozenset({2, 44})"
241,0.06,"frozenset({2, 45})"
242,0.09,"frozenset({2, 46})"
243,0.15,"frozenset({2, 47})"
244,0.07,"frozenset({48, 2})"
245,0.2,"frozenset({49, 2})"
246,0.12,"frozenset({2, 50})"
247,0.08,"frozenset({2, 51})"
248,0.1,"frozenset({2, 52})"
249,0.15,"frozenset({2, 53})"
250,0.11,"frozenset({2, 54})"
251,0.11,"frozenset({2, 55})"
252,0.07,"frozenset({56, 2})"
253,0.1,"frozenset({57, 2})"
254,0.18,"frozenset({2, 58})"
255,0.12,"frozenset({2, 59})"
256,0.1,"frozenset({2, 60})"
257,0.13,"frozenset({2, 61})"
258,0.11,"frozenset({2, 62})"
259,0.12,"frozenset({2, 63})"
260,0.12,"frozenset({64, 2})"
261,0.09,"frozenset({65, 2})"
262,0.11,"frozenset({66, 2})"
263,0.15,"frozenset({2, 67})"
264,0.12,"frozenset({2, 68})"
265,0.12,"frozenset({2, 69})"
266,0.11,"frozenset({2, 70})"
267,0.12,"frozenset({2, 71})"
268,0.13,"frozenset({72, 2})"
269,0.13,"frozenset({73, 2})"
270,0.08,"frozenset({74, 2})"
271,0.11,"frozenset({2, 75})"
272,0.14,"frozenset({2, 76})"
273,0.16,"frozenset({2, 77})"
274,0.12,"frozenset({2, 78})"
275,0.06,"frozenset({2, 79})"
276,0.1,"frozenset({80, 2})"
277,0.14,"frozenset({81, 2})"
278,0.09,"frozenset({82, 2})"
279,0.08,"frozenset({2, 83})"
280,0.07,"frozenset({2, 84})"
281,0.11,"frozenset({2, 85})"
282,0.13,"frozenset({2, 86})"
283,0.07,"frozenset({2, 87})"
284,0.1,"frozenset({88, 2})"
285,0.09,"frozenset({89, 2})"
286,0.16,"frozenset({90, 2})"
287,0.08,"frozenset({2, 91})"
288,0.08,"frozenset({2, 92})"
289,0.1,"frozenset({2, 93})"
290,0.16,"frozenset({2, 94})"
291,0.11,"frozenset({2, 95})"
292,0.11,"frozenset({96, 2})"
293,0.2,"frozenset({97, 2})"
294,0.09,"frozenset({2, 98})"
295,0.15,"frozenset({2, 99})"
296,0.13,"frozenset({2, 100})"
297,0.12,"frozenset({3, 4})"
298,0.12,"frozenset({3, 5})"
299,0.1,"frozenset({3, 6})"
300,0.11,"frozenset({3, 7})"
301,0.12,"frozenset({8, 3})"
302,0.11,"frozenset({9, 3})"
303,0.13,"frozenset({10, 3})"
304,0.11,"frozenset({11, 3})"
305,0.09,"frozenset({3, 12})"
306,0.09,"frozenset({3, 13})"
307,0.17,"frozenset({3, 14})"
308,0.09,"frozenset({16, 3})"
309,0.09,"frozenset({17, 3})"
310,0.11,"frozenset({18, 3})"
311,0.11,"frozenset({19, 3})"
312,0.1,"frozenset({3, 20})"
313,0.07,"frozenset({3, 21})"
314,0.13,"frozenset({3, 22})"
315,0.15,"frozenset({3, 23})"
316,0.14,"frozenset({24, 3})"
317,0.1,"frozenset({25, 3})"
318,0.12,"frozenset({26, 3})"
319,0.11,"frozenset({27, 3})"
320,0.08,"frozenset({3, 28})"
321,0.14,"frozenset({3, 29})"
322,0.07,"frozenset({3, 30})"
323,0.09,"frozenset({3, 31})"
324,0.07,"frozenset({32, 3})"
325,0.11,"frozenset({33, 3})"
326,0.12,"frozenset({34, 3})"
327,0.07,"frozenset({35, 3})"
328,0.12,"frozenset({3, 36})"
329,0.08,"frozenset({3, 37})"
330,0.05,"frozenset({3, 38})"
331,0.1,"frozenset({3, 39})"
332,0.16,"frozenset({40, 3})"
333,0.07,"frozenset({41, 3})"
334,0.1,"frozenset({42, 3})"
335,0.09,"frozenset({43, 3})"
336,0.1,"frozenset({3, 44})"
337,0.11,"frozenset({3, 45})"
338,0.11,"frozenset({3, 46})"
339,0.12,"frozenset({3, 47})"
340,0.08,"frozenset({48, 3})"
341,0.14,"frozenset({49, 3})"
342,0.09,"frozenset({50, 3})"
343,0.11,"frozenset({51, 3})"
344,0.12,"frozenset({3, 52})"
345,0.08,"frozenset({3, 53})"
346,0.1,"frozenset({3, 54})"
347,0.12,"frozenset({3, 55})"
348,0.11,"frozenset({56, 3})"
349,0.13,"frozenset({57, 3})"
350,0.16,"frozenset({58, 3})"
351,0.1,"frozenset({59, 3})"
352,0.09,"frozenset({3, 60})"
353,0.12,"frozenset({3, 61})"
354,0.1,"frozenset({3, 62})"
355,0.11,"frozenset({3, 63})"
356,0.1,"frozenset({64, 3})"
357,0.08,"frozenset({65, 3})"
358,0.11,"frozenset({66, 3})"
359,0.09,"frozenset({67, 3})"
360,0.12,"frozenset({3, 68})"
361,0.17,"frozenset({3, 69})"
362,0.15,"frozenset({3, 70})"
363,0.1,"frozenset({3, 71})"
364,0.13,"frozenset({72, 3})"
365,0.11,"frozenset({74, 3})"
366,0.12,"frozenset({75, 3})"
367,0.12,"frozenset({3, 76})"
368,0.15,"frozenset({3, 77})"
369,0.12,"frozenset({3, 78})"
370,0.12,"frozenset({3, 79})"
371,0.1,"frozenset({80, 3})"
372,0.11,"frozenset({81, 3})"
373,0.05,"frozenset({82, 3})"
374,0.1,"frozenset({83, 3})"
375,0.13,"frozenset({3, 84})"
376,0.12,"frozenset({3, 85})"
377,0.13,"frozenset({3, 86})"
378,0.08,"frozenset({3, 87})"
379,0.14,"frozenset({88, 3})"
380,0.08,"frozenset({89, 3})"
381,0.1,"frozenset({90, 3})"
382,0.08,"frozenset({3, 92})"
383,0.14,"frozenset({3, 93})"
384,0.11,"frozenset({3, 94})"
385,0.11,"frozenset({3, 95})"
386,0.07,"frozenset({96, 3})"
387,0.13,"frozenset({97, 3})"
388,0.12,"frozenset({98, 3})"
389,0.1,"frozenset({99, 3})"
390,0.09,"frozenset({3, 100})"
391,0.13,"frozenset({4, 5})"
392,0.13,"frozenset({4, 6})"
393,0.11,"frozenset({4, 7})"
394,0.1,"frozenset({8, 4})"
395,0.11,"frozenset({9, 4})"
396,0.1,"frozenset({10, 4})"
397,0.15,"frozenset({11, 4})"
398,0.06,"frozenset({12, 4})"
399,0.11,"frozenset({4, 13})"
400,0.14,"frozenset({4, 14})"
401,0.08,"frozenset({4, 15})"
402,0.09,"frozenset({16, 4})"
403,0.12,"frozenset({17, 4})"
404,0.12,"frozenset({18, 4})"
405,0.14,"frozenset({19, 4})"
406,0.18,"frozenset({20, 4})"
407,0.11,"frozenset({4, 21})"
408,0.16,"frozenset({4, 22})"
409,0.15,"frozenset({4, 23})"
410,0.15,"frozenset({24, 4})"
411,0.13,"frozenset({25, 4})"
412,0.09,"frozenset({26, 4})"
413,0.07,"frozenset({27, 4})"
414,0.08,"frozenset({28, 4})"
415,0.12,"frozenset({4, 29})"
416,0.13,"frozenset({4, 30})"
417,0.09,"frozenset({4, 31})"
418,0.09,"frozenset({32, 4})"
419,0.14,"frozenset({33, 4})"
420,0.17,"frozenset({34, 4})"
421,0.11,"frozenset({35, 4})"
422,0.12,"frozenset({36, 4})"
423,0.14,"frozenset({4, 37})"
424,0.12,"frozenset({4, 38})"
425,0.15,"frozenset({4, 39})"
426,0.19,"frozenset({40, 4})"
427,0.09,"frozenset({41, 4})"
428,0.14,"frozenset({42, 4})"
429,0.13,"frozenset({43, 4})"
430,0.15,"frozenset({44, 4})"
431,0.09,"frozenset({4, 45})"
432,0.13,"frozenset({4, 46})"
433,0.18,"frozenset({4, 47})"
434,0.12,"frozenset({48, 4})"
435,0.19,"frozenset({49, 4})"
436,0.13,"frozenset({50, 4})"
437,0.12,"frozenset({51, 4})"
438,0.13,"frozenset({52, 4})"
439,0.08,"frozenset({4, 53})"
440,0.09,"frozenset({4, 54})"
441,0.11,"frozenset({4, 55})"
442,0.07,"frozenset({56, 4})"
443,0.11,"frozenset({57, 4})"
444,0.13,"frozenset({58, 4})"
445,0.09,"frozenset({59, 4})"
446,0.08,"frozenset({60, 4})"
447,0.1,"frozenset({4, 61})"
448,0.12,"frozenset({4, 62})"
449,0.13,"frozenset({4, 63})"
450,0.12,"frozenset({64, 4})"
451,0.13,"frozenset({65, 4})"
452,0.14,"frozenset({66, 4})"
453,0.17,"frozenset({67, 4})"
454,0.09,"frozenset({68, 4})"
455,0.13,"frozenset({4, 69})"
456,0.13,"frozenset({4, 70})"
457,0.13,"frozenset({4, 71})"
458,0.11,"frozenset({72, 4})"
459,0.15,"frozenset({73, 4})"
460,0.13,"frozenset({74, 4})"
461,0.13,"frozenset({75, 4})"
462,0.18,"frozenset({76, 4})"
463,0.18,"frozenset({4, 77})"
464,0.1,"frozenset({4, 78})"
465,0.06,"frozenset({4, 79})"
466,0.09,"frozenset({80, 4})"
467,0.13,"frozenset({81, 4})"
468,0.12,"frozenset({82, 4})"
469,0.1,"frozenset({83, 4})"
470,0.11,"frozenset({84, 4})"
471,0.08,"frozenset({4, 85})"
472,0.11,"frozenset({4, 86})"
473,0.08,"frozenset({4, 87})"
474,0.12,"frozenset({88, 4})"
475,0.14,"frozenset({89, 4})"
476,0.2,"frozenset({90, 4})"
477,0.09,"frozenset({91, 4})"
478,0.13,"frozenset({92, 4})"
479,0.17,"frozenset({4, 93})"
480,0.12,"frozenset({4, 94})"
481,0.07,"frozenset({4, 95})"
482,0.13,"frozenset({96, 4})"
483,0.18,"frozenset({97, 4})"
484,0.1,"frozenset({98, 4})"
485,0.14,"frozenset({99, 4})"
486,0.14,"frozenset({100, 4})"
487,0.1,"frozenset({5, 6})"
488,0.11,"frozenset({5, 7})"
489,0.1,"frozenset({8, 5})"
490,0.09,"frozenset({9, 5})"
491,0.09,"frozenset({10, 5})"
492,0.08,"frozenset({11, 5})"
493,0.09,"frozenset({12, 5})"
494,0.11,"frozenset({13, 5})"
495,0.17,"frozenset({5, 14})"
496,0.09,"frozenset({5, 15})"
497,0.16,"frozenset({16, 5})"
498,0.13,"frozenset({17, 5})"
499,0.12,"frozenset({18, 5})"
500,0.09,"frozenset({19, 5})"
501,0.13,"frozenset({20, 5})"
502,0.13,"frozenset({21, 5})"
503,0.15,"frozenset({5, 22})"
504,0.13,"frozenset({5, 23})"
505,0.14,"frozenset({24, 5})"
506,0.1,"frozenset({25, 5})"
507,0.09,"frozenset({26, 5})"
508,0.1,"frozenset({27, 5})"
509,0.08,"frozenset({28, 5})"
510,0.12,"frozenset({29, 5})"
511,0.08,"frozenset({5, 30})"
512,0.09,"frozenset({5, 31})"
513,0.09,"frozenset({32, 5})"
514,0.14,"frozenset({33, 5})"
515,0.15,"frozenset({34, 5})"
516,0.1,"frozenset({35, 5})"
517,0.06,"frozenset({36, 5})"
518,0.13,"frozenset({37, 5})"
519,0.07,"frozenset({5, 38})"
520,0.13,"frozenset({5, 39})"
521,0.17,"frozenset({40, 5})"
522,0.11,"frozenset({41, 5})"
523,0.13,"frozenset({42, 5})"
524,0.13,"frozenset({43, 5})"
525,0.07,"frozenset({44, 5})"
526,0.11,"frozenset({45, 5})"
527,0.09,"frozenset({5, 46})"
528,0.13,"frozenset({5, 47})"
529,0.09,"frozenset({48, 5})"
530,0.2,"frozenset({49, 5})"
531,0.12,"frozenset({50, 5})"
532,0.06,"frozenset({51, 5})"
533,0.11,"frozenset({52, 5})"
534,0.11,"frozenset({53, 5})"
535,0.1,"frozenset({5, 54})"
536,0.13,"frozenset({5, 55})"
537,0.1,"frozenset({56, 5})"
538,0.1,"frozenset({57, 5})"
539,0.15,"frozenset({58, 5})"
540,0.09,"frozenset({59, 5})"
541,0.1,"frozenset({60, 5})"
542,0.15,"frozenset({61, 5})"
543,0.08,"frozenset({5, 62})"
544,0.14,"frozenset({5, 63})"
545,0.13,"frozenset({64, 5})"
546,0.11,"frozenset({65, 5})"
547,0.12,"frozenset({66, 5})"
548,0.1,"frozenset({67, 5})"
549,0.13,"frozenset({68, 5})"
550,0.15,"frozenset({69, 5})"
551,0.13,"frozenset({5, 70})"
552,0.11,"frozenset({5, 71})"
553,0.1,"frozenset({72, 5})"
554,0.14,"frozenset({73, 5})"
555,0.12,"frozenset({74, 5})"
556,0.06,"frozenset({75, 5})"
557,0.16,"frozenset({76, 5})"
558,0.13,"frozenset({77, 5})"
559,0.11,"frozenset({5, 78})"
560,0.1,"frozenset({80, 5})"
561,0.14,"frozenset({81, 5})"
562,0.06,"frozenset({82, 5})"
563,0.12,"frozenset({83, 5})"
564,0.11,"frozenset({84, 5})"
565,0.11,"frozenset({85, 5})"
566,0.09,"frozenset({5, 86})"
567,0.1,"frozenset({5, 87})"
568,0.1,"frozenset({88, 5})"
569,0.11,"frozenset({89, 5})"
570,0.15,"frozenset({90, 5})"
571,0.08,"frozenset({91, 5})"
572,0.11,"frozenset({92, 5})"
573,0.14,"frozenset({93, 5})"
574,0.15,"frozenset({5, 94})"
575,0.12,"frozenset({5, 95})"
576,0.1,"frozenset({96, 5})"
577,0.14,"frozenset({97, 5})"
578,0.13,"frozenset({98, 5})"
579,0.13,"frozenset({99, 5})"
580,0.11,"frozenset({100, 5})"
581,0.1,"frozenset({6, 7})"
582,0.12,"frozenset({8, 6})"
583,0.1,"frozenset({9, 6})"
584,0.08,"frozenset({10, 6})"
585,0.11,"frozenset({11, 6})"
586,0.07,"frozenset({12, 6})"
587,0.16,"frozenset({13, 6})"
588,0.16,"frozenset({14, 6})"
589,0.08,"frozenset({6, 15})"
590,0.09,"frozenset({16, 6})"
591,0.15,"frozenset({17, 6})"
592,0.09,"frozenset({18, 6})"
593,0.11,"frozenset({19, 6})"
594,0.12,"frozenset({20, 6})"
595,0.1,"frozenset({21, 6})"
596,0.08,"frozenset({22, 6})"
597,0.08,"frozenset({6, 23})"
598,0.14,"frozenset({24, 6})"
599,0.07,"frozenset({25, 6})"
600,0.06,"frozenset({26, 6})"
601,0.08,"frozenset({27, 6})"
602,0.08,"frozenset({28, 6})"
603,0.08,"frozenset({29, 6})"
604,0.1,"frozenset({30, 6})"
605,0.12,"frozenset({6, 31})"
606,0.06,"frozenset({32, 6})"
607,0.12,"frozenset({33, 6})"
608,0.09,"frozenset({34, 6})"
609,0.09,"frozenset({35, 6})"
610,0.09,"frozenset({36, 6})"
611,0.14,"frozenset({37, 6})"
612,0.09,"frozenset({38, 6})"
613,0.13,"frozenset({6, 39})"
614,0.18,"frozenset({40, 6})"
615,0.06,"frozenset({41, 6})"
616,0.14,"frozenset({42, 6})"
617,0.17,"frozenset({43, 6})"
618,0.13,"frozenset({44, 6})"
619,0.12,"frozenset({45, 6})"
620,0.09,"frozenset({46, 6})"
621,0.13,"frozenset({6, 47})"
622,0.1,"frozenset({48, 6})"
623,0.14,"frozenset({49, 6})"
624,0.09,"frozenset({50, 6})"
625,0.08,"frozenset({51, 6})"
626,0.1,"frozenset({52, 6})"
627,0.1,"frozenset({53, 6})"
628,0.09,"frozenset({54, 6})"
629,0.08,"frozenset({6, 55})"
630,0.12,"frozenset({56, 6})"
631,0.13,"frozenset({57, 6})"
632,0.12,"frozenset({58, 6})"
633,0.14,"frozenset({59, 6})"
634,0.09,"frozenset({60, 6})"
635,0.13,"frozenset({61, 6})"
636,0.09,"frozenset({62, 6})"
637,0.1,"frozenset({6, 63})"
638,0.14,"frozenset({64, 6})"
639,0.09,"frozenset({65, 6})"
640,0.1,"frozenset({66, 6})"
641,0.13,"frozenset({67, 6})"
642,0.13,"frozenset({68, 6})"
643,0.12,"frozenset({69, 6})"
644,0.13,"frozenset({70, 6})"
645,0.08,"frozenset({6, 71})"
646,0.11,"frozenset({72, 6})"
647,0.09,"frozenset({73, 6})"
648,0.12,"frozenset({74, 6})"
649,0.07,"frozenset({75, 6})"
650,0.15,"frozenset({76, 6})"
651,0.13,"frozenset({77, 6})"
652,0.13,"frozenset({78, 6})"
653,0.07,"frozenset({6, 79})"
654,0.11,"frozenset({80, 6})"
655,0.12,"frozenset({81, 6})"
656,0.09,"frozenset({82, 6})"
657,0.11,"frozenset({83, 6})"
658,0.11,"frozenset({84, 6})"
659,0.13,"frozenset({85, 6})"
660,0.06,"frozenset({86, 6})"
661,0.12,"frozenset({88, 6})"
662,0.08,"frozenset({89, 6})"
663,0.16,"frozenset({90, 6})"
664,0.08,"frozenset({91, 6})"
665,0.07,"frozenset({92, 6})"
666,0.12,"frozenset({93, 6})"
667,0.09,"frozenset({94, 6})"
668,0.09,"frozenset({6, 95})"
669,0.11,"frozenset({96, 6})"
670,0.13,"frozenset({97, 6})"
671,0.12,"frozenset({98, 6})"
672,0.14,"frozenset({99, 6})"
673,0.12,"frozenset({100, 6})"
674,0.08,"frozenset({8, 7})"
675,0.09,"frozenset({9, 7})"
676,0.13,"frozenset({10, 7})"
677,0.16,"frozenset({11, 7})"
678,0.11,"frozenset({12, 7})"
679,0.14,"frozenset({13, 7})"
680,0.2,"frozenset({14, 7})"
681,0.13,"frozenset({15, 7})"
682,0.08,"frozenset({16, 7})"
683,0.16,"frozenset({17, 7})"
684,0.15,"frozenset({18, 7})"
685,0.08,"frozenset({19, 7})"
686,0.12,"frozenset({20, 7})"
687,0.12,"frozenset({21, 7})"
688,0.14,"frozenset({22, 7})"
689,0.15,"frozenset({23, 7})"
690,0.12,"frozenset({24, 7})"
691,0.15,"frozenset({25, 7})"
692,0.13,"frozenset({26, 7})"
693,0.14,"frozenset({27, 7})"
694,0.09,"frozenset({28, 7})"
695,0.11,"frozenset({29, 7})"
696,0.12,"frozenset({30, 7})"
697,0.17,"frozenset({31, 7})"
698,0.05,"frozenset({32, 7})"
699,0.08,"frozenset({33, 7})"
700,0.13,"frozenset({34, 7})"
701,0.09,"frozenset({35, 7})"
702,0.08,"frozenset({36, 7})"
703,0.15,"frozenset({37, 7})"
704,0.13,"frozenset({38, 7})"
705,0.14,"frozenset({7, 39})"
706,0.2,"frozenset({40, 7})"
707,0.08,"frozenset({41, 7})"
708,0.17,"frozenset({42, 7})"
709,0.13,"frozenset({43, 7})"
710,0.14,"frozenset({44, 7})"
711,0.08,"frozenset({45, 7})"
712,0.12,"frozenset({46, 7})"
713,0.15,"frozenset({7, 47})"
714,0.14,"frozenset({48, 7})"
715,0.17,"frozenset({49, 7})"
716,0.12,"frozenset({50, 7})"
717,0.08,"frozenset({51, 7})"
718,0.1,"frozenset({52, 7})"
719,0.15,"frozenset({53, 7})"
720,0.13,"frozenset({54, 7})"
721,0.13,"frozenset({7, 55})"
722,0.08,"frozenset({56, 7})"
723,0.1,"frozenset({57, 7})"
724,0.16,"frozenset({58, 7})"
725,0.14,"frozenset({59, 7})"
726,0.12,"frozenset({60, 7})"
727,0.16,"frozenset({61, 7})"
728,0.12,"frozenset({62, 7})"
729,0.11,"frozenset({7, 63})"
730,0.14,"frozenset({64, 7})"
731,0.09,"frozenset({65, 7})"
732,0.1,"frozenset({66, 7})"
733,0.09,"frozenset({67, 7})"
734,0.11,"frozenset({68, 7})"
735,0.16,"frozenset({69, 7})"
736,0.12,"frozenset({70, 7})"
737,0.11,"frozenset({7, 71})"
738,0.16,"frozenset({72, 7})"
739,0.13,"frozenset({73, 7})"
740,0.15,"frozenset({74, 7})"
741,0.11,"frozenset({75, 7})"
742,0.12,"frozenset({76, 7})"
743,0.15,"frozenset({77, 7})"
744,0.11,"frozenset({78, 7})"
745,0.1,"frozenset({7, 79})"
746,0.07,"frozenset({80, 7})"
747,0.09,"frozenset({81, 7})"
748,0.12,"frozenset({82, 7})"
749,0.11,"frozenset({83, 7})"
750,0.12,"frozenset({84, 7})"
751,0.1,"frozenset({85, 7})"
752,0.13,"frozenset({86, 7})"
753,0.08,"frozenset({7, 87})"
754,0.14,"frozenset({88, 7})"
755,0.08,"frozenset({89, 7})"
756,0.12,"frozenset({90, 7})"
757,0.08,"frozenset({91, 7})"
758,0.09,"frozenset({92, 7})"
759,0.09,"frozenset({93, 7})"
760,0.14,"frozenset({94, 7})"
761,0.09,"frozenset({7, 95})"
